,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
LGALS3,0,1.76144622860238,0.576,0.093,0,15,LGALS3
PGM2L1,0,1.56285725884441,0.573,0.09,0,15,PGM2L1
AC004585.1,0,1.52063132897441,0.517,0.02,0,15,AC004585.1
LYST2,0,1.33514040640055,0.663,0.154,0,15,LYST
SESTD1,0,1.09865090470969,0.434,0.01,0,15,SESTD1
FABP51,0,1.01225716147442,0.491,0.067,0,15,FABP5
DTHD1,0,0.914010306122751,0.433,0.05,0,15,DTHD1
MYB,0,0.856286434947256,0.335,0.008,0,15,MYB
PECAM1,0,0.832193907504143,0.43,0.062,0,15,PECAM1
CTLA4,0,0.77037151519969,0.325,0.038,0,15,CTLA4
HAVCR2,0,0.76264315492055,0.32,0.03,0,15,HAVCR2
CD381,0,0.760506786382969,0.346,0.042,0,15,CD38
FGFR1,0,0.751621928980259,0.349,0.031,0,15,FGFR1
AFF3,0,0.728666202914201,0.314,0.024,0,15,AFF3
MYL6B1,0,0.708656360448497,0.341,0.028,0,15,MYL6B
MT1E1,0,0.695468913228201,0.274,0.026,0,15,MT1E
PRDM8,0,0.659831214300319,0.264,0.023,0,15,PRDM8
NUCB25,2.63267229822077e-295,1.86729879614996,0.875,0.364,6.78939858988155e-291,15,NUCB2
TIGIT1,1.30824529872841e-286,1.11790346567763,0.529,0.102,3.37383380089069e-282,15,TIGIT
CD274,3.50208690920203e-264,1.78580359521602,0.866,0.412,9.03153193014112e-260,15,CD27
SH2D1A2,8.05543729217382e-224,1.2152579870003,0.578,0.152,2.07741672327871e-219,15,SH2D1A
MT2A2,1.63763405630851e-212,1.66398691399021,0.723,0.269,4.22329446781402e-208,15,MT2A
TMSB4X1,2.29608606800993e-204,1.0765278692913,0.998,0.997,5.9213763607908e-200,15,TMSB4X
GPR1832,6.97618646061149e-201,1.27761639312592,0.675,0.224,1.7990887263271e-196,15,GPR183
